,rolling_1yr_return,rolling_1yr_volatility,rolling_30d_volatility,latest_close_price,avg_30d_volume
MSCI,0.00752499262897488,0.2345147254948217,0.1924088148463546,544.780029296875,566003.3333333334
WELL,0.2672842255362584,0.17030935124543553,0.1984940294004263,202.3300018310547,3133443.3333333335
CNP,0.1587737439461343,0.127826882067971,0.14150230661435176,43.709999084472656,5281420.0
MAA,-0.15763333263000034,0.1549428006427649,0.14687892764904498,124.87999725341797,955753.3333333334
GM,0.36789005159676025,0.2757755092890777,0.24988051215590715,72.54000091552734,8074900.0
APO,-0.2834327389020268,0.2991065578092738,0.31903652666580884,107.04000091552734,6522636.666666667
PLD,0.2431638404459464,0.1810534207024434,0.17744995192595225,133.77000427246094,3507606.6666666665
SLB,0.4244585410696342,0.2877435572930128,0.40054769867789675,49.439998626708984,19808736.666666668
ETR,0.32941384380590755,0.1627506117753801,0.25570839282267777,114.9000015258789,2867060.0
GD,0.12112821027495757,0.1584570944533308,0.15934329279336187,349.0899963378906,1292536.6666666667
AXON,-0.4383613936220708,0.4536013801687425,0.4069176441676692,412.80999755859375,1034643.3333333334
DD,0.45535181321003315,0.25257871358830497,0.2877538718561726,45.47999954223633,4071420.0
BRK-B,-0.013882292063185475,0.1264326948617664,0.1253324044348062,477.3500061035156,4857226.666666667
CCI,-0.2121145773937967,0.2250078088839767,0.2769471124600566,84.77999877929688,3237420.0
LMT,0.5087201195881836,0.19711588933176424,0.202141157856645,622.7899780273438,1703380.0
PPL,0.0814542064448378,0.1374550945048526,0.14770122903611985,38.63999938964844,9361736.666666666
HSY,0.12625328469440755,0.21696540957864588,0.2094421615147454,206.19000244140625,1796123.3333333333
HBAN,-0.03589442677957588,0.22418741181382754,0.20268922068782771,15.789999961853027,28137373.333333332
WRB,-0.025779319911722,0.1777456562191081,0.17888586355365316,65.98999786376953,2224263.3333333335
MSTR,-0.7047722350724845,0.6054178073992164,0.539554738151476,119.83000183105469,20042623.333333332
CI,-0.07409091432320747,0.29482494362648515,0.2330596093294779,270.0199890136719,1822360.0
RSG,-0.0818036421817736,0.14682084935231904,0.15691401938589006,223.19000244140625,1269516.6666666667
TRMB,-0.2360393667459173,0.24092325361293546,0.24228857284757746,65.12000274658203,1848216.6666666667
AAPL,0.20020000980370067,0.19295046597708998,0.16308903953018422,255.9199981689453,41206790.0
CINF,0.0781507732701523,0.16741407286177298,0.1704115244701952,158.41000366210938,859093.3333333334
DVN,0.5305635930042067,0.2622764431956034,0.2556862943386708,49.4900016784668,17038486.666666668
BR,-0.3569510624807597,0.20700368719641743,0.26762790112572576,160.92999267578125,1726773.3333333333
APTV,-0.13989566311281,0.3008227388863653,0.42359348122370355,60.9900016784668,2566476.6666666665
OTIS,-0.12060109506222416,0.1666095217373397,0.2500480927826223,77.86000061035156,3945393.3333333335
GRMN,0.020587859466791647,0.26416260114953516,0.2602532783148225,237.64999389648438,863990.0
SJM,-0.09770896295157028,0.2174554452924986,0.1611451364659326,95.47000122070312,2538786.6666666665
HON,0.10328977276562545,0.17528034238990306,0.18939698517276274,229.4499969482422,3845810.0
CBRE,-0.07433760707622306,0.2654834565649334,0.2078921026124594,136.60000610351562,2312353.3333333335
DLTR,-0.05218076242995773,0.29640528873429933,0.3162170450197357,108.44000244140625,3007313.3333333335
C,0.2210673789240689,0.24225372987213797,0.28993509540890094,115.25,16164396.666666666
ITW,0.005511818977508964,0.17070465625736725,0.17518198286902836,258.2099914550781,1347016.6666666667
CL,-0.019269113384202563,0.17650580178228997,0.19204931508991613,85.13999938964844,6611090.0
LEN,-0.24351011474386997,0.30345462214593955,0.31144986808132774,86.48999786376953,3272626.6666666665
EFX,-0.2541033451341538,0.29927213299504496,0.3077081061584466,182.38999938964844,1623110.0
TECH,-0.0923292014599153,0.33325467455003777,0.3307520526709336,53.130001068115234,2347136.6666666665
EMR,-0.10911212517508428,0.25201586853123215,0.3035500674834397,131.6999969482422,2982983.3333333335
TDG,-0.2240852078597695,0.2271230291624162,0.1864890086209355,1167.0,396026.6666666667
NKE,-0.4099913852878808,0.3071544273368349,0.479255719976965,44.189998626708984,21606720.0
APA,1.2468540979552376,0.36934026087105676,0.34480966778435496,42.040000915527344,10183240.0
OMC,0.006694358515572096,0.300941082573308,0.19022461360796702,74.80999755859375,5705133.333333333
SNA,0.12971297449439656,0.15275419641619142,0.15284214700260024,365.5799865722656,403296.6666666667
WAB,0.2922849940205521,0.18618481160271663,0.2651822133587515,253.91000366210938,879960.0
WDC,3.2966040073386864,0.5937312028421131,0.7279629998680728,294.9700012207031,9161043.333333334
